pidigits ; 166.044738769531250000, 143.544982910156250000,  ,  ,  6790.37 
pidigits ; 159.838989257812500000, 135.288269042968750000,  ,  ,  6798.26 
pidigits ; 153.940368652343750000, 131.081604003906250000,  ,  ,  6583.26 
pidigits ; 151.369384765625000000, 130.454467773437500000,  ,  ,  6529.15 
pidigits ; 180.376770019531250000, 153.757019042968750000,  ,  ,  7319.72 
pidigits ; 144.458435058593750000, 125.698913574218750000,  ,  ,  6491.35 
pidigits ; 174.152099609375000000, 151.621032714843750000,  ,  ,  7153.24 
pidigits ; 148.849670410156250000, 128.272216796875000000,  ,  ,  6520.5 
pidigits ; 143.302001953125000000, 122.144958496093750000,  ,  ,  6363.62 
pidigits ; 132.771240234375000000, 116.413269042968750000,  ,  ,  6332.5 
n-body ; 93.180725097656250000, 85.957885742187500000,  ,  ,  4434.05 
n-body ; 90.802917480468750000, 83.461486816406250000,  ,  ,  4298.51 
n-body ; 87.822814941406250000, 80.803283691406250000,  ,  ,  4366.68 
n-body ; 91.152282714843750000, 84.203552246093750000,  ,  ,  4343.01 
n-body ; 86.994628906250000000, 79.809020996093750000,  ,  ,  4378.73 
n-body ; 91.825134277343750000, 84.641174316406250000,  ,  ,  4336.16 
n-body ; 89.352111816406250000, 82.262695312500000000,  ,  ,  4508.07 
n-body ; 88.379943847656250000, 80.810852050781250000,  ,  ,  4425.82 
n-body ; 91.922302246093750000, 84.508178710937500000,  ,  ,  4556.36 
n-body ; 87.879638671875000000, 80.650756835937500000,  ,  ,  4422.59 
k-nucleotide ; 509.186279296875000000, 448.685791015625000000,  ,  ,  28899.6 
k-nucleotide ; 516.034362792968750000, 451.010253906250000000,  ,  ,  29341.4 
k-nucleotide ; 465.419860839843750000, 406.653930664062500000,  ,  ,  28572.5 
k-nucleotide ; 459.832641601562500000, 406.792724609375000000,  ,  ,  27433.3 
k-nucleotide ; 426.991577148437500000, 377.804260253906250000,  ,  ,  26504.4 
k-nucleotide ; 485.129821777343750000, 431.152465820312500000,  ,  ,  27348.9 
k-nucleotide ; 473.486328125000000000, 414.593017578125000000,  ,  ,  29361.6 
k-nucleotide ; 440.092346191406250000, 388.122375488281250000,  ,  ,  27407.5 
k-nucleotide ; 455.355651855468750000, 403.821472167968750000,  ,  ,  26574 
k-nucleotide ; 359.536987304687500000, 310.757873535156250000,  ,  ,  24894.5 
reverse-complement ; 28.233764648437500000, 24.886169433593750000,  ,  ,  1264.21 
reverse-complement ; 23.286743164062500000, 20.778015136718750000,  ,  ,  1172.42 
reverse-complement ; 23.997192382812500000, 21.244567871093750000,  ,  ,  1215.14 
reverse-complement ; 22.804321289062500000, 20.633911132812500000,  ,  ,  1130.93 
reverse-complement ; 22.928039550781250000, 20.700500488281250000,  ,  ,  1141.98 
reverse-complement ; 24.500244140625000000, 21.943420410156250000,  ,  ,  1202.92 
reverse-complement ; 23.389953613281250000, 20.846557617187500000,  ,  ,  1148.41 
reverse-complement ; 23.223144531250000000, 20.737731933593750000,  ,  ,  1146.69 
reverse-complement ; 24.581542968750000000, 21.791687011718750000,  ,  ,  1168.53 
reverse-complement ; 24.770019531250000000, 22.097961425781250000,  ,  ,  1181.95 
fasta ; 95.504943847656250000, 87.790588378906250000,  ,  ,  4130.69 
fasta ; 91.067199707031250000, 83.353027343750000000,  ,  ,  4215.27 
fasta ; 94.897827148437500000, 85.731872558593750000,  ,  ,  4379.79 
fasta ; 85.769897460937500000, 78.162353515625000000,  ,  ,  4304.99 
fasta ; 87.031555175781250000, 77.869628906250000000,  ,  ,  4374.29 
fasta ; 93.588073730468750000, 84.233215332031250000,  ,  ,  4349.24 
fasta ; 97.989379882812500000, 87.846008300781250000,  ,  ,  4435.61 
fasta ; 97.961181640625000000, 87.970642089843750000,  ,  ,  4435.41 
fasta ; 89.456298828125000000, 80.039611816406250000,  ,  ,  4450 
fasta ; 92.595214843750000000, 83.408569335937500000,  ,  ,  4445.82 
fannkuch-redux ; 345.884033203125000000, 318.411926269531250000,  ,  ,  12071.9 
fannkuch-redux ; 343.511596679687500000, 316.426452636718750000,  ,  ,  12052.6 
fannkuch-redux ; 342.769714355468750000, 312.698059082031250000,  ,  ,  12469 
fannkuch-redux ; 322.758911132812500000, 290.353210449218750000,  ,  ,  13015.4 
fannkuch-redux ; 326.052734375000000000, 295.561279296875000000,  ,  ,  13129.8 
fannkuch-redux ; 320.923400878906250000, 291.518859863281250000,  ,  ,  12837.6 
fannkuch-redux ; 312.823974609375000000, 286.540588378906250000,  ,  ,  12542.2 
fannkuch-redux ; 311.643615722656250000, 286.164062500000000000,  ,  ,  12525.6 
fannkuch-redux ; 300.477172851562500000, 273.429382324218750000,  ,  ,  11972.5 
fannkuch-redux ; 294.802185058593750000, 269.320007324218750000,  ,  ,  11877.3 
regex-redux ; 255.428344726562500000, 230.969238281250000000,  ,  ,  13139.3 
regex-redux ; 263.724121093750000000, 234.853271484375000000,  ,  ,  13059.5 
regex-redux ; 257.620178222656250000, 232.054992675781250000,  ,  ,  13559.8 
regex-redux ; 252.199890136718750000, 225.968322753906250000,  ,  ,  12950.4 
regex-redux ; 267.936096191406250000, 242.029418945312500000,  ,  ,  13213.8 
regex-redux ; 257.826171875000000000, 229.274963378906250000,  ,  ,  12831.4 
regex-redux ; 237.931945800781250000, 212.808105468750000000,  ,  ,  12731.9 
regex-redux ; 239.278503417968750000, 215.632690429687500000,  ,  ,  12710.6 
regex-redux ; 256.138916015625000000, 231.011962890625000000,  ,  ,  12776.4 
