pidigits ; 97.853454589843750000, 89.568664550781250000,  ,  ,  4791.91 
pidigits ; 100.430236816406250000, 91.971252441406250000,  ,  ,  4785.22 
pidigits ; 103.573913574218750000, 94.581298828125000000,  ,  ,  4857.73 
pidigits ; 100.725524902343750000, 92.368713378906250000,  ,  ,  4877.59 
pidigits ; 100.525573730468750000, 92.023071289062500000,  ,  ,  4880 
pidigits ; 105.034545898437500000, 96.377990722656250000,  ,  ,  4935.82 
pidigits ; 101.280578613281250000, 92.918273925781250000,  ,  ,  4858.88 
pidigits ; 103.059753417968750000, 94.651062011718750000,  ,  ,  4902.1 
pidigits ; 102.108337402343750000, 93.617919921875000000,  ,  ,  4881.8 
pidigits ; 101.789794921875000000, 93.233886718750000000,  ,  ,  4815.19 
n-body ; 138.324768066406250000, 131.057556152343750000,  ,  ,  6869.09 
n-body ; 143.967285156250000000, 136.308593750000000000,  ,  ,  6823.21 
n-body ; 134.604492187500000000, 127.219238281250000000,  ,  ,  6946.27 
n-body ; 138.328369140625000000, 130.929809570312500000,  ,  ,  6827.29 
n-body ; 142.334167480468750000, 134.491821289062500000,  ,  ,  6889.93 
n-body ; 128.659912109375000000, 121.203552246093750000,  ,  ,  7009.82 
n-body ; 139.367004394531250000, 131.679321289062500000,  ,  ,  6885.49 
n-body ; 137.601318359375000000, 130.045166015625000000,  ,  ,  6794.86 
n-body ; 141.561523437500000000, 133.722534179687500000,  ,  ,  7029.74 
n-body ; 139.599243164062500000, 131.705139160156250000,  ,  ,  6949.61 
k-nucleotide ; 1316.389221191406250000, 1201.163757324218750000,  ,  ,  61608.4 
k-nucleotide ; 1249.306274414062500000, 1137.980407714843750000,  ,  ,  59196.7 
k-nucleotide ; 1268.487670898437500000, 1156.243530273437500000,  ,  ,  58805.5 
k-nucleotide ; 1453.411193847656250000, 1332.788757324218750000,  ,  ,  64597.1 
k-nucleotide ; 1317.159851074218750000, 1200.210266113281250000,  ,  ,  61472.8 
k-nucleotide ; 1321.244934082031250000, 1208.239074707031250000,  ,  ,  60438.9 
k-nucleotide ; 1312.884521484375000000, 1198.163330078125000000,  ,  ,  61557.9 
k-nucleotide ; 1403.916442871093750000, 1281.035949707031250000,  ,  ,  65508.6 
k-nucleotide ; 1327.903625488281250000, 1210.905700683593750000,  ,  ,  61987.3 
k-nucleotide ; 1242.470764160156250000, 1130.658630371093750000,  ,  ,  59678.8 
reverse-complement ; 68.897338867187500000, 63.231384277343750000,  ,  ,  3404.59 
reverse-complement ; 65.140686035156250000, 59.651123046875000000,  ,  ,  3315.09 
reverse-complement ; 64.330322265625000000, 58.863037109375000000,  ,  ,  3244.47 
reverse-complement ; 68.065856933593750000, 62.130981445312500000,  ,  ,  3551.91 
reverse-complement ; 67.891235351562500000, 61.900573730468750000,  ,  ,  3490.17 
reverse-complement ; 63.620178222656250000, 57.812927246093750000,  ,  ,  3384.23 
reverse-complement ; 64.486999511718750000, 58.894042968750000000,  ,  ,  3331.06 
reverse-complement ; 63.186584472656250000, 57.398315429687500000,  ,  ,  3394.46 
reverse-complement ; 68.070739746093750000, 62.175415039062500000,  ,  ,  3426.63 
reverse-complement ; 64.219421386718750000, 58.419189453125000000,  ,  ,  3384.73 
fasta ; 115.668579101562500000, 109.423583984375000000,  ,  ,  5547.4 
fasta ; 114.815368652343750000, 107.513244628906250000,  ,  ,  5654.71 
fasta ; 106.136840820312500000, 99.422546386718750000,  ,  ,  5565.79 
fasta ; 104.532104492187500000, 97.678222656250000000,  ,  ,  5700.42 
fasta ; 104.519409179687500000, 97.486877441406250000,  ,  ,  5863.38 
fasta ; 109.050781250000000000, 101.964477539062500000,  ,  ,  5789.37 
fasta ; 103.851806640625000000, 97.014038085937500000,  ,  ,  5830.22 
fasta ; 104.436950683593750000, 97.806396484375000000,  ,  ,  5498.82 
fasta ; 103.665100097656250000, 96.281555175781250000,  ,  ,  5980.88 
fasta ; 101.201477050781250000, 94.427490234375000000,  ,  ,  5657.59 
fannkuch-redux ; 429.372558593750000000, 401.083496093750000000,  ,  ,  15079.4 
fannkuch-redux ; 425.867919921875000000, 398.554260253906250000,  ,  ,  15062.5 
fannkuch-redux ; 406.824279785156250000, 379.889282226562500000,  ,  ,  15202.9 
fannkuch-redux ; 390.137939453125000000, 362.368469238281250000,  ,  ,  15682.8 
fannkuch-redux ; 413.651367187500000000, 384.843627929687500000,  ,  ,  16690 
fannkuch-redux ; 402.442138671875000000, 372.887878417968750000,  ,  ,  16056.1 
fannkuch-redux ; 401.803771972656250000, 367.890014648437500000,  ,  ,  16104 
fannkuch-redux ; 389.520690917968750000, 362.033142089843750000,  ,  ,  15608.5 
fannkuch-redux ; 385.666198730468750000, 358.813720703125000000,  ,  ,  15537.9 
fannkuch-redux ; 384.583129882812500000, 358.273010253906250000,  ,  ,  15383.4 
regex-redux ; 248.260253906250000000, 230.916442871093750000,  ,  ,  14532.3 
regex-redux ; 236.289733886718750000, 221.123413085937500000,  ,  ,  13708.3 
regex-redux ; 238.073791503906250000, 222.091979980468750000,  ,  ,  14322 
regex-redux ; 239.366455078125000000, 223.501159667968750000,  ,  ,  14089.7 
regex-redux ; 236.356994628906250000, 220.762695312500000000,  ,  ,  13988 
regex-redux ; 245.878234863281250000, 230.181396484375000000,  ,  ,  14485.4 
regex-redux ; 242.416198730468750000, 227.133239746093750000,  ,  ,  13877.1 
regex-redux ; 249.803833007812500000, 233.799316406250000000,  ,  ,  13813.2 
regex-redux ; 246.415100097656250000, 230.962646484375000000,  ,  ,  13749.4 
