pidigits ; 136.432006835937500000, 123.814331054687500000,  ,  ,  6211.69 
pidigits ; 131.968078613281250000, 119.658386230468750000,  ,  ,  6196.8 
pidigits ; 134.736999511718750000, 122.319763183593750000,  ,  ,  6275.09 
pidigits ; 146.789367675781250000, 133.016540527343750000,  ,  ,  6492.57 
pidigits ; 144.710754394531250000, 131.603515625000000000,  ,  ,  6371.79 
pidigits ; 141.032836914062500000, 128.189086914062500000,  ,  ,  6269.44 
pidigits ; 139.566711425781250000, 126.734863281250000000,  ,  ,  6199.06 
pidigits ; 139.547302246093750000, 126.799926757812500000,  ,  ,  6307.22 
pidigits ; 138.551452636718750000, 125.464172363281250000,  ,  ,  6227.35 
pidigits ; 137.392517089843750000, 124.636718750000000000,  ,  ,  6159.19 
n-body ; 106.288330078125000000, 93.728210449218750000,  ,  ,  4872.01 
n-body ; 121.648620605468750000, 109.483459472656250000,  ,  ,  5132.9 
n-body ; 105.741149902343750000, 96.978820800781250000,  ,  ,  4721.18 
n-body ; 114.833679199218750000, 103.356201171875000000,  ,  ,  4957.2 
n-body ; 101.087158203125000000, 91.668212890625000000,  ,  ,  4869.18 
n-body ; 101.772949218750000000, 92.954223632812500000,  ,  ,  4783.36 
n-body ; 102.347900390625000000, 93.735351562500000000,  ,  ,  4645.13 
n-body ; 108.935302734375000000, 98.177185058593750000,  ,  ,  4887.72 
n-body ; 108.768615722656250000, 97.014404296875000000,  ,  ,  4935.33 
n-body ; 132.174926757812500000, 115.301513671875000000,  ,  ,  5292.5 
k-nucleotide ; 542.455505371093750000, 469.535400390625000000,  ,  ,  31723.4 
k-nucleotide ; 512.134399414062500000, 439.927917480468750000,  ,  ,  32411.4 
k-nucleotide ; 511.783569335937500000, 434.931030273437500000,  ,  ,  32660.1 
k-nucleotide ; 474.215942382812500000, 389.440856933593750000,  ,  ,  33156.7 
k-nucleotide ; 532.045898437500000000, 448.965209960937500000,  ,  ,  33725.9 
k-nucleotide ; 513.793518066406250000, 446.193969726562500000,  ,  ,  31284.4 
k-nucleotide ; 518.832092285156250000, 449.377075195312500000,  ,  ,  31782.8 
k-nucleotide ; 510.731140136718750000, 437.690612792968750000,  ,  ,  32294.5 
k-nucleotide ; 544.264526367187500000, 467.030151367187500000,  ,  ,  32942 
k-nucleotide ; 499.561157226562500000, 428.020202636718750000,  ,  ,  31633.9 
reverse-complement ; 33.826232910156250000, 30.270690917968750000,  ,  ,  1496.77 
reverse-complement ; 34.515625000000000000, 30.627441406250000000,  ,  ,  1550.74 
reverse-complement ; 34.561950683593750000, 31.095214843750000000,  ,  ,  1497.88 
reverse-complement ; 34.037353515625000000, 30.628784179687500000,  ,  ,  1477.47 
reverse-complement ; 33.459228515625000000, 30.217956542968750000,  ,  ,  1474.76 
reverse-complement ; 31.042663574218750000, 27.983764648437500000,  ,  ,  1426.48 
reverse-complement ; 31.507019042968750000, 27.962463378906250000,  ,  ,  1520.43 
reverse-complement ; 31.051940917968750000, 27.883972167968750000,  ,  ,  1492.21 
reverse-complement ; 35.445251464843750000, 32.309875488281250000,  ,  ,  1511.55 
